ID	audio	tgt_text
1	1003119935936341070.wav	Однако из-за медленных коммуникационных каналов стили на Западе могли отставать на 25-30 лет.
2	10052240106321793346.wav	Все существительные, а также слово Sie для обращения к вам, всегда пишутся с заглавной буквы, даже в середине предложения.
3	10167324587744183095.wav	На севере и в непосредственной близости находится романтический и захватывающий город Синтра, который стал известен иностранцам после восхищенного описания своих великолепий, оставленного лордом Байроном.
4	10197164397713068203.wav	Сок капусты меняет цвет в зависимости от того, насколько кислотным или щелочным является химическое вещество.
5	10233995782544396174.wav	Многие не считают их динозаврами, потому что у них есть перья и они умеют летать.
6	10235738076911595987.wav	Больница соблюдает протокол по контролю за инфекцией, включая изоляцию пациента от других для предотвращения возможного заражения других.
7	10323357556845456822.wav	Северно-Марианский офис управления чрезвычайными ситуациями заявил, что повреждений в стране не зафиксировано.
8	10335587906469246566.wav	Исследования двадцатого века показали, что существует два пула генетического вариативности: скрытый и проявленный.
9	10344335557154974057.wav	Соотношение сторон этого формата (для упрощения пересчитывается на целое число, разделив на 12) поэтому определяется как 3:2.
10	1036771894648013441.wav	Поскольку загрязнение светом в их расцвет было не таким проблемным, как сегодня, они обычно находятся в городах или на кампусах, более легко доступных, чем те, что построены в современные времена.
11	1038214857203833067.wav	Через ночь было сделано от 150 до 200 копий, известных сейчас как Брошюры Данлапа.
12	10383288285905292158.wav	Например, каждый год ученики школы Беннет в Северной Каролине создают веб-сайт о своей поездке в штатную столицу, каждый год веб-сайт реконструируется, но старые версии остаются онлайн в качестве альбома.
13	10405958125670257178.wav	Стаи львов ведут себя довольно похоже на стаи волков или собак, животных, поразительно похожих на львов (но не на других крупных кошек) в поведении, и также очень смертоносных к своей добыче.
14	10411016628242228511.wav	Город также является базой для восхождения на вулкан Нирагонго, а также одним из самых дешевых видов туризма - трекинг на горилл в горах - в Африке.
15	1042003289011443756.wav	Интернет объединяет элементы как массовой, так и межличностной коммуникации.
16	1043394666292127188.wav	Эти теории рассматривают, что делает определенных людей желать того, что они делают, и какие факторы в их окружении заставляют их делать или не делать определенные вещи.
17	1045619486290403122.wav	Например, наиболее распространенным форматом фотографий статичных изображений в мире является 35 мм, который был доминирующим размером пленки в конце эпохи аналоговой фотографии.
18	1046653381869710616.wav	Термин сафари в повседневном использовании относится к сухопутным путешествиям для наблюдения за потрясающей африканской дикой природой, в частности на саванне.
19	10471564175308895403.wav	Но есть много вещей в птицах, которые до сих пор напоминают динозавра.
20	10481451226514948764.wav	Женщинам рекомендуется заявлять, что они замужем, независимо от их фактического семейного положения.
21	10492135991603561867.wav	В некоторых районах достаточно кипятить воду одну минуту, в других требуется несколько минут.
