ID	audio	tgt_text
1	1_16k.wav	Die derzeit wichtigste Frage lautet: Wie können wir die Klimakrise schneller bewältigen? 
2	2_16k.wav	Ich bin überzeugt, wir können sie bewältigen. Wir müssen. Doch die Frage bleibt: Schaffen wir es rechtzeitig? Es heißt, wir sind in einem Wettlauf.
3	3_16k.wav	Hier die kürzeste Definition des Problems: Wenn ich eine Präsentation mit nur einer Folie zeigen würde, dann wäre es diese hier.
4	4_16k.wav	Das ist die Troposphäre, der unterste Teil der Atmosphäre. Sie wissen, warum sie blau ist: weil der Sauerstoff das blaue Licht bricht.
5	5_16k.wav	Sie wissen, warum sie blau ist: weil der Sauerstoff das blaue Licht bricht. Könnte man mit Autobahngeschwindigkeit hoch in die Luft fahren, käme man in 5 bis 7 Minuten bis zu dieser blauen Linie,
6	6_16k.wav	Das hier benutzen wir als offene Kloake. Das ist das Problem.
7	7_16k.wav	Und das hat eine Menge Folgen zweiter und dritter Ordnung.
8	8_16k.wav	Einige haben wir in den nördlich gelegenen Städten wie Detroit gesehen.
9	9_16k.wav	Hier New York und die Brände in Kanada.
10	10_16k.wav	Wir haben uns an Dürrekatastrophen, massiven Starkregen, Wolkenbrüche und Überflutungen weltweit gewöhnt.
11	11_16k.wav	Mit dem genialen neuen Satelliten zur Messung der Schwerkraft können wir zum ersten Mal diese weltweiten Entwicklungen beobachten. 
12	12_16k.wav	Da gibt es riesige Wasserüberschüsse, Starkregen und Dürren gleichzeitig. Sie sehen, die Amplitude steigt.
13	13_16k.wav	An beiden Enden des Planeten zeigen sich derzeit Anzeichen von Bestürzung. 
14	14_16k.wav	ch sage immer: Die Abendnachrichten sind wie eine Naturwanderung durch das Buch der Offenbarung.
15	15_16k.wav	Allein heute haben wir Überschwemmungen in Montpelier, Vermont, in Südjapan, in Indien. Ich habe nicht alles eruiert, aber es ist jeden Tag so.
16	16_16k.wav	Wissenschaftler in der Antarktis, die gewöhnlich einen kühlen Kopf bewahren, flippen gerade, definieren wir es mal angemessen, leicht aus, weil das Meereis zu dieser Zeit des Jahres so dünn ist wie nie zuvor.
17	17_16k.wav	Und im Nordatlantik am anderen Pol herrschen nie dagewesene Temperaturen.
18	18_16k.wav	Offenbar müssen wir die Krise angehen.
19	19_16k.wav	Die gute Nachricht ist, wie oft betont wird: Es gibt enorme Fortschritte. 
20	20_16k.wav	Das fängt beim Inflationsreduktionsgesetz in den USA an.
21	21_16k.wav	Präsident Biden und der Kongress haben das beste und größte Klimapaket der Geschichte im Wert von 369 Milliarden verabschiedet.
22	22_16k.wav	Die Hauptlast tragen Steuergutschriften, die meisten davon unbefristet. Die ersten Anträge zeigen bereits, es wird um weit mehr als eine Billion Dollar gehen, vielleicht 1,2 Billionen. 
23	23_16k.wav	Das ist wirklich eine gute Nachricht.
24	24_16k.wav	Einen Monat nach der Verabschiedung bekam Australien eine neue Regierung und neue Gesetze. Es ist jetzt eine Klimanation.
25	25_16k.wav	Noch einen Monat später folgte Brasilien: neuer Präsident, neue Maßnahmen zum Schutz des Amazonasgebiets.
26	26_16k.wav	Überall in der Europäischen Union wehrt man sich gegen die Erpressungsversuche Russlands, die sadistische und grausame Invasion der Ukraine zu unterstützen.
27	27_16k.wav	Es gibt noch andere Zeichen des Erfolgs. 
28	28_16k.wav	China hat sein Ziel für erneuerbare Energien 5 Jahre früher erreicht.
29	29_16k.wav	Es baut noch immer eine Menge Kohle ab, doch nur bei 50 % Kapazitätsauslastung. 
30	30_16k.wav	Es gibt also viele gute Nachrichten. Doch trotz der Fortschritte steigen die Emissionen weiter. Die Krise verschlimmert sich schneller, als wir sie bekämpfen können.
31	31_16k.wav	Wir sollten uns vielleicht die Hindernisse ansehen, die uns im Weg stehen.
32	32_16k.wav	Ich möchte mich heute auf zwei davon konzentrieren. 
33	33_16k.wav	Da ist zunächst der erbitterte Widerstand der fossilen Brennstoffindustrie.
34	34_16k.wav	Viele Menschen denken, sie steht uns bei und will helfen. 
35	35_16k.wav	Doch ich sage Ihnen, ebenso wie die Aktivisten.
36	36_16k.wav	Bei jedem neuen Gesetz, ob auf kommunaler, regionaler oder Provinzebene, auf nationaler oder internationaler Ebene, treten ihre Lobbyisten und Mittelsmänner auf und gemeinsam mit ihren Drehtür-Kollegen tun sie, was sie können, um den Fortschritt zu bremsen. 
37	37_16k.wav	Wollen wir also schneller vorankommen, müssen wir etwas dagegen tun.
38	38_16k.wav	Sie betreiben Betrug im großen Stil.
39	39_16k.wav	Und sie nutzen ihr üppig finanziertes politisches und wirtschaftliches Netzwerk, um politische Entscheidungen weltweit in zu vielen Ländern zu beeinflussen. 
