ID	audio	tgt_text
1	1_16k.wav	Мы основали Open AI семь лет назад, потому что нам казалось, что в сфере ИИ происходит нечто очень интересное, и нам хотелось помочь направить процесс в положительное русло.
2	2_16k.wav	Честно говоря, меня поражает прогресс в этой области с тех пор.
3	3_16k.wav	Очень приятно слышать истории от таких людей, как Рэймонд, которые используют создаваемую нами технологию, и другие вдохновляющие истории.
4	4_16k.wav	Люди выражают восхищение, люди выражают озабоченность, есть люди, испытывающие обе эти эмоции одновременно.
5	5_16k.wav	Прежде всего, есть ощущение того, что сегодня мы пересекаем исторический рубеж, когда мы, человечество, определяем технологию, которая будет так важна для нашего общества в будущем.
6	6_16k.wav	Сегодня я хочу продемонстрировать вам нынешнее состояние этой технологии и некоторые основополагающие и важные для нас принципы её дизайна.
7	7_16k.wav	Первое, что я хочу показать, — это что значит создать инструмент для ИИ, а не для человека.
8	8_16k.wav	У нас есть новая модель DALL-E, генерирующая изображения, и мы даём ChatGPT возможность пользоваться ею как приложением.
9	9_16k.wav	И это действительно расширяет возможности того, что можно создать по вашему поручению с точки зрения осуществления намерения.
10	10_16k.wav	Подчеркну, что всё это живая демонстрация, генерируемая ИИ в процессе нашего разговора.
11	11_16k.wav	Теперь это сохранено, а я покажу вам, как можно использовать эту информацию и интегрировать её с другими приложениями.
12	12_16k.wav	Если эта чудесная еда будет приготовлена, я, конечно же, хочу знать, какой она будет на вкус.
13	13_16k.wav	Я считаю, что это демонстрирует новый подход к интерфейсу пользователя.
14	14_16k.wav	Например, мы так привыкли к тому, что мы переключаемся с одного приложения на другое, копируем и вставляем, и часто внутри приложения всё проходит гладко, если мы знакомы с опциями меню.
15	15_16k.wav	Имея единый языковый интерфейс наряду с инструментами, ИИ способен избавить вас от всех этих деталей.
16	16_16k.wav	Вам не нужно формулировать каждую деталь того, что должно произойти.
17	17_16k.wav	Поскольку это живая демонстрация, иногда будут случаться сюрпризы.
18	18_16k.wav	Это показывает, что традиционные интерфейсы пользователя будут продолжать использоваться.
19	19_16k.wav	Но нам надо сделать ещё и второй шаг— научить ИИ пользоваться этими навыками.
20	20_16k.wav	Мы находимся на рассвете новой эпохи способов ведения войны.
21	21_16k.wav	Я вырос в месте, где зародилась атомная бомба, технология, правившая предыдущей эпохой, я чётко осознавал, как эта технология определила геополитику и природу войны.
22	22_16k.wav	Мои родители были учёными в Лос-Аламосской национальной лаборатории.
23	23_16k.wav	Их исследования магнитной гидродинамики окажут значительное влияние на наше понимание Вселенной.
24	24_16k.wav	Разумеется, я знал, что хочу заниматься чем-то таким же значимым.
25	25_16k.wav	Я решил стать программистом и изучать искусственный интеллект.
26	26_16k.wav	ИИ — одна из важнейших технологий нашего времени, влияющая на государственную безопасность и демократию по всему миру.
27	27_16k.wav	Как показала Вторая мировая война в случае с атомной бомбой, побеждает та страна, которая быстрее и эффективнее внедряет новою технологию в боевые действия.
28	28_16k.wav	Нет причин считать, что ИИ будет исключением.
29	29_16k.wav	Но в гонке вооружений в области ИИ мы уже отстаём.
30	30_16k.wav	С точки зрения технологий Китай уже сегодня опережает США в области компьютерного зрения.
31	31_16k.wav	На внедрение же ИИ в военное дело Китай выделяет гораздо больше средств: с учётом общих военных расходов Китай тратит в 10 раз больше, чем США.
32	32_16k.wav	Почему же мы так отстаём?
33	33_16k.wav	Несмотря на обладание самым большим количеством военной техники, данные с этой техники либо удалены, либо, спрятанные на жёстких дисках, недоступны.
34	34_16k.wav	В битве ИИ всё сводится к обладанию данными.
35	35_16k.wav	Оборонному ИИ недостаточно данных из интернета.
36	36_16k.wav	Большая часть информации должна поступать с военных объектов, сенсоров или в результате сотрудничества с технологическими компаниями.
37	37_16k.wav	Военачальники должны уметь использовать данные как военное орудие.
38	38_16k.wav	В какой-то момент лидеры компаний решили, что сотрудничество с правительством — табу.
39	39_16k.wav	Меня, как специалиста в области технологий, часто спрашивают, как я делаю мир лучше.
40	40_16k.wav	Война в Украине показала, что природа войны изменилась.
41	41_16k.wav	Благодаря превосходству в ИИ Украина противостоит врагу, на стороне которого большее количество воиск и оружия.
42	42_16k.wav	Я родилась в Китае в начале 1980-х. В то время Китай был всё ещё страной дефицита.
43	43_16k.wav	Пищевые продукты нам выдавали по норме, и мы готовили еду в общих кухнях.
44	44_16k.wav	И даже в Пекине три раза в неделю планово отключали по ночам электричество.
45	45_16k.wav	Я помню, как мы с отцом читали стихи при свечах, — особое воспоминание о тех временах, когда в Китае люди обходились малым.
46	46_16k.wav	Перенесёмся на три десятилетия вперёд: Китай превратился в страну изобилия, особенно в отношении технологической мощи.
47	47_16k.wav	Будь то высокие технологии, технологии для бизнеса или для повседневной жизни, там можно найти всё, что только можно себе представить.
48	48_16k.wav	Я могу купить кока-колу, просканировав своё лицо.
49	49_16k.wav	Несколько лет назад я попросила в отеле зубную пасту, и робот доставил мне её в комнату.
50	50_16k.wav	В удалённых уголках Тибета я встречала людей, слушающих крутую музыку с плееров на солнечных батарейках.
51	51_16k.wav	а с помощью китайской технологии солнечной энергетики освещаются дома африканских детей, которые раньше учились при свечах, как я когда-то в детстве.
52	52_16k.wav	Этот удивительный технологический прорыв случился несмотря на то, что Китай остаётся развивающейся страной, а средний годовой доход на душу населения составляет всего 10 000 долларов.
53	53_16k.wav	Сегодня я хочу предложить вам взглянуть под другим углом на уникальную модель, способствовавшую инновации и технологическому росту.
54	54_16k.wav	Это далеко не идеальная система.
55	55_16k.wav	Как и вы, я беспокоюсь о нарастающем напряжении технологической гонки.
56	56_16k.wav	Но я верю, что как и в любых отношениях, лучшее понимание друг друга взамен ухудшения отношений, вредящего всем нам, поможет нам найти общие цели.
57	57_16k.wav	Я экономист, балансирующий, как оказалось, между различными мирами.
58	58_16k.wav	Давайте начнём с того, как выглядит инновационный процесс в Китае.
59	59_16k.wav	Всё, что делает нас более гибкими, эффективными и приносит меньше ущерба окружающей среде — всё это играет роль.
60	60_16k.wav	Китай провёл первый квантовый видеозвонок и запустил первый дрон с пассажиром на борту.
61	61_16k.wav	Да, многие из вас скажут: у Китая есть деньги, рынки, таланты и множество данных, что очень важно в информационном веке.
62	62_16k.wav	Чтобы превратить идею или научное открытие в коммерческий успех, нужна инновационная экосистема.
