ID	audio	tgt_text
0	ted_1_0.wav	Ich würde dich gerne zu einem kleinen Gedankenexperiment einladen.
1	ted_1_1.wav	Lassen Sie uns so tun, als ob wir gemeinsam auf eine Polarexpedition gehen würden, alle zusammen mit mir, und wir müssen einen Kapitän anheuern.
2	ted_1_3.wav	Einer stammt von einem Mann, der bereits alle vier großen Polarziele erfolgreich erreicht hat, den Nordpol und den Südpol sowie die Nordost- und Nordwestpassage.
3	ted_1_4.wav	Tatsächlich war er der erste Mensch, der drei davon erreicht hat.
4	ted_1_6.wav	Kandidat B ist ein Mann, der viermal in die Antarktis aufgebrochen ist, dreimal als Verantwortlicher, und jedes Mal endete es in Misserfolg, Katastrophe oder Tod.
5	ted_1_12.wav	Aber in Wirklichkeit überlisten wir uns oft selbst, indem wir Kandidat B oder jemanden wie ihn einstellen.
6	ted_1_14.wav	In der Zwischenzeit ist Kandidat A, der Norweger Roald Amundsen, nach jedem Maßstab der erfolgreichste Polarforscher, der je gelebt hat, weitgehend vergessen worden.
7	ted_1_15.wav	Ich habe vor diesem Vortrag eine schnelle Suche im Katalog der Bibliothek meiner Universität gemacht und habe nicht weniger als 26 Bücher gefunden, die Shackletons Führungsqualitäten feiern.
8	ted_1_16.wav	Für Amundsen habe ich vier gefunden, von denen ich zwei geschrieben habe.
9	ted_1_18.wav	Warum sind wir besessen von einem bestenfalls mittelmäßigen Anführer und übersehen dabei einen wirklich begabten?
10	ted_1_19.wav	Nun, ich bin Historiker, der Führung studiert, und ich bin hier, um Ihnen zu sagen, dass wir die falschen Führer feiern, und das gilt nicht nur im Bereich der Polarexpeditionen.
11	ted_1_20.wav	Sie reden wahrscheinlich über ihn an den Kaffeemaschinen am Morgen.
12	ted_1_22.wav	Er wurde als Analphabetensklave geboren und stieg auf, um einer der einflussreichsten Revolutionäre aller Zeiten zu werden und die größten Reiche seiner Zeit zu überlisten, einschließlich dem von Napoleon.
13	ted_1_25.wav	Und das ist nicht nur eine akademische oder banale Erkenntnis.
14	ted_1_28.wav	Alle Herausforderungen, denen wir heute gegenüberstehen, erfordern, dass Menschen zusammenarbeiten, und dies wiederum erfordert jemanden, der sie motivieren, inspirieren, die Arbeit koordinieren und mit eventuellen Problemen umgehen kann, die unterwegs auftreten könnten.
15	ted_1_29.wav	Aber aus diesem Grund ist es wichtig, dass wir die richtigen Führer feiern, denn die Führer, die wir feiern, sind die Führer, von denen wir lernen.
16	ted_1_30.wav	Und so hat die Führung, die wir feiern, einen direkten Einfluss auf den Erfolg oder möglicherweise auch das Scheitern unserer größten Unternehmungen heute.
17	ted_1_33.wav	Aber es gibt auch einen anderen Übeltäter, der am Werk ist, den ich gerne die Handlungstäuschung nenne.
18	ted_1_34.wav	Unser irriger Glaube, dass die besten Führer jene sind, die den meisten Lärm, die meisten Aktionen und die sensationellste Aktivität in den dramatischsten Situationen erzeugen.
19	ted_1_35.wav	Mit anderen Worten, wir verwechseln eine gute Geschichte mit guter Führung.
20	ted_1_37.wav	Tatsächlich führt sehr oft eine gute Führung zu einer schlechten Geschichte.
21	ted_1_39.wav	Stelle dir Führung für einen Moment nicht als Polarexploratorin, die einen neuen Kurs setzt, oder als Geschäftsführerin, die ihr Personal motiviert, sondern als einfache Handlung des Schwimmens über einen Fluss vor.
22	ted_1_41.wav	Stelle dir einen wilden Fluss mit Wellen vor, die aufeinanderprallen und mit Felsen, die irgendwo unter der Oberfläche lauern.
23	ted_1_42.wav	Wenn ein Schwimmer planlos hineingeht, ohne sich seiner eigenen Fähigkeiten oder der Strömungen bewusst zu sein, und fast ertrinkt, aber wild herumspritzt, mit aller Kraft kämpft und sich irgendwie, auf wundersame Weise, zurück in Sicherheit rettet, werden wir, die zuschauen, ihn bemerken.
24	ted_1_45.wav	Er hat wirklich hart gekämpft, um sich aus dieser Krise herauszuholen.
25	ted_1_46.wav	Und wenn stattdessen eine Schwimmerin haben, die den Fluss jahrelang studiert hat und genau weiß, wann und wo sie ins Wasser steigen muss und wie sie ihren Körper auf subtile Weise drehen soll, um sich vom Strom tragen zu lassen, werden wir sie wahrscheinlich nicht bemerken.
26	ted_1_47.wav	Und wenn wir das tun, würden wir wahrscheinlich sagen: „Äh, das sieht ziemlich einfach aus.“
27	ted_1_49.wav	Und er und seine Männer wurden dann gezwungen, einen gefährlichen Treck über das Eis zu unternehmen und einige der stürmischsten Meere der Erde zu durchqueren, bevor sie schließlich im Sommer 1916 die Sicherheit von Südgeorgien erreichten.
28	ted_1_52.wav	Tatsächlich wurde es in eine TV-Serie umgewandelt, in der der junge Kenneth Branagh mitspielte.
29	ted_1_53.wav	Aber es handelt sich nicht um eine Geschichte, die sich eignet, Führungslektionen daraus zu ziehen.
30	ted_1_54.wav	Er übersah den Rat von örtlichen Walfängern, die ihm sagten, dass das Eis in dieser Saison besonders gefährlich sei.
31	ted_1_55.wav	Und er übersah massive Defizite in seiner Ausrüstung, Vorbereitung, Auswahl der Crew und Ausbildung.
32	ted_1_57.wav	Selten in den vielen Büchern, die seine Führungsqualitäten feiern, wird darauf hingewiesen, dass das andere Schiff der Expedition, die Aurora, eine noch schwerwiegendere Krise erlitten hat, die in drei verlorenen Leben resultierte.
33	ted_1_58.wav	Im Gegensatz dazu sind die Expeditionen eines Roald Amundsen langweilig zu lesen.
34	ted_1_59.wav	Nicht weil er Glück hatte, sondern aufgrund seines intimen Wissens über die polare Umgebung, seiner sorgfältigen und bedachten Planung sowie seiner authentischen und innovativen Führung vor Ort, gelang es ihm, die Probleme, mit denen sein Team konfrontiert war, auf ein absolutes Minimum zu reduzieren.
35	ted_1_60.wav	Im Jahr 1905 gelang es ihm, in einem winzigen Fischerboot, was der mächtigen britischen Marine in den vorherigen acht Jahrzehnten nicht gelungen war, den Nordwestpassage über dem kanadischen Festland zu finden und zu befahren.
36	ted_1_61.wav	Wenn Shackleton der Schwimmer ist, der ungestüm und ohne das Verständnis für die Strömungen oder seine eigenen Fähigkeiten ins Wasser eilt, dann ist Amundsen der Schwimmer, der sein Leben lang demütig den Fluss studiert hat, bevor er zur genau richtigen Zeit und am genau richtigen Ort ins Wasser geht und es so mühelos aussehen lässt.
37	ted_1_62.wav	Jetzt verursacht der Handlungstrugschluss echte Probleme, und das nicht nur für unsere Interpretation der Vergangenheit.
38	ted_1_63.wav	Ich bin durch meine Arbeit als Historiker, der sich dafür interessiert, warum wir einige Führer der Vergangenheit feiern, aber nicht andere, darauf gestoßen.
39	ted_1_64.wav	Aber es ist auch ein gefährliches Merkmal in unseren Büros heute, denn letztendlich sind die gleichen Voreingenommenheiten und Missverständnisse, die wir in unserem Umgang mit der Vergangenheit haben, dieselben, mit denen wir Führung in unseren Büros heute betrachten.
40	ted_1_65.wav	Es sind die Shackletons unserer Büros, und nicht die Amundsens, die als Vorbilder dienen, befördert werden und belohnt werden.
41	ted_1_66.wav	Tatsächlich haben Studien in der Organisationspsychologie dies bestätigt.
42	ted_1_67.wav	Wir sehen Führungspotenzial in Menschen, die mehr sprechen, unabhängig davon, was sie sagen.
43	ted_1_68.wav	Bei Personen, die selbstbewusst wirken, ganz egal, wie kompetent sie tatsächlich sind.
44	ted_1_69.wav	Und wir haben eine unerschütterliche Bewunderung für Menschen, die ständig beschäftigt sind, unabhängig davon, was sie tatsächlich tun.
45	ted_1_70.wav	Ich sehe, dass einige von euch sich gerade bestimmte Personen in eurem Büro vorstellen.
46	ted_1_72.wav	Mit anderen Worten, heute führt der Weg zu Ruhm, Bonus und Beförderung über das Erscheinen als guter Anführer, anstatt tatsächlich einer hinter den Kulissen zu sein.
47	ted_1_74.wav	Mit den falschen Führern an der Spitze erbringen Organisationen offensichtlich nicht ihre volle Leistungsfähigkeit.
48	ted_1_75.wav	Und es schafft eine giftige Kultur, in der diejenigen, die tatsächlich gute Arbeit leisten, sich übersehen und demotiviert fühlen.
49	ted_1_76.wav	Also ist das ein Problem, das wir lösen müssen.
50	ted_1_78.wav	Und es beginnt damit, sich vorzustellen, wie gute Führung aussieht.
51	ted_1_80.wav	Zuerst müssen wir lernen, zu ignorieren, was wir die Krisenkapitäne nennen können, die Shackletons, die von einer dramatischen Situation zur nächsten taumeln.
52	ted_1_81.wav	Keith Grint, der herausragende Gelehrte der Führung heute, fasst diese problematische Dynamik brillant zusammen.
53	ted_1_82.wav	Da wir Menschen belohnen, die gut in Krisen sind und Menschen ignorieren, die so gute Manager sind, dass es nur wenige Krisen gibt, lernen Menschen bald, Situationen als Krisen zu suchen oder neu zu definieren.
54	ted_1_83.wav	Wir müssen diese Art von Führung durch Verweigerung der Aufmerksamkeit, nach der diese Menschen dürsten, abwerten.
55	ted_1_84.wav	Und das ist einfach, wenn wir mit den nüchternen Tatsachen konfrontiert werden.
56	ted_1_86.wav	Aber sobald es in eine Geschichte eingebettet ist, ziehen uns die dramatischen Details wie ein Magnet an und vermitteln uns ein falsches Gefühl von Inspiration.
57	ted_1_88.wav	Stattdessen müssen wir lernen, diejenigen zu feiern, die Drama mindern, anstatt es zu fördern.
58	ted_1_89.wav	Und das kann herausfordernd sein, weil sie dies oft auf sehr subtile Weise tun, unter der Wasseroberfläche, im Fall unseres Schwimmers.
59	ted_1_91.wav	Sie entwickeln Prozesse, die die Stärken der Organisation mit den einzigartigen Herausforderungen, denen sie gegenüberstehen, in Einklang bringen.
60	ted_1_92.wav	Und sie sind authentisch und schaffen Kulturen, die das Beste in den Menschen hervorbringen.
61	ted_1_93.wav	Ich möchte dir hier nicht zu viele technische, akademische Fachbegriffe geben, aber das hier ist ein wichtiger.
