ID	audio	tgt_text
0	ted_1_0.wav	Je voudrais vous inviter à participer à une petite expérience de réflexion.
1	ted_1_1.wav	Faisons semblant que nous partons ensemble en expédition polaire, vous tous et moi, et nous devons engager un capitaine.
2	ted_1_3.wav	On vient d'un homme qui a déjà réussi à atteindre avec succès les quatre principaux objectifs polaires, soit le pôle Nord et le pôle Sud, ainsi que le passage du Nord-Est et le passage du Nord-Ouest.
3	ted_1_4.wav	En fait, trois d'entre eux, il a été la première personne à accomplir.
4	ted_1_6.wav	Le candidat B est un homme qui s'est rendu quatre fois en Antarctique, trois fois en tant que responsable, et à chaque fois s'est soldé par un échec, une catastrophe ou la mort.
5	ted_1_12.wav	Mais en réalité, nous nous trompons souvent en embauchant le candidat B ou quelqu'un comme lui.
6	ted_1_14.wav	Pendant ce temps, le candidat A, le Norvégien Roald Amundsen, selon toutes les mesures, l'explorateur polaire le plus réussi ayant jamais vécu, a été largement oublié.
7	ted_1_15.wav	J'ai effectué une recherche rapide dans le catalogue de la bibliothèque de mon université avant cette conférence, et j'ai trouvé pas moins de 26 livres qui célèbrent les qualités de leadership de Shackleton.
8	ted_1_16.wav	Pour Amundsen, j'en ai trouvé quatre, dont j'en ai écrit deux.
9	ted_1_18.wav	Pourquoi sommes-nous obsédés par un leader médiocre au mieux et ignorons-nous un vrai talentueux ?
10	ted_1_19.wav	Eh bien, je suis historien et j'étudie le leadership, et je suis ici pour vous dire que nous célébrons les mauvais leaders, et pas seulement dans le domaine de l'exploration polaire.
11	ted_1_20.wav	Vous parlez probablement de lui autour des machines à café le matin.
12	ted_1_22.wav	Il est né esclave illettré et a réussi à devenir l'un des révolutionnaires les plus influents de tous les temps, surpassant les plus grands empires de son époque, y compris celui de Napoléon.
13	ted_1_25.wav	Et ce n'est pas simplement un aperçu académique ou trivial.
14	ted_1_28.wav	Tous les défis auxquels nous sommes confrontés aujourd'hui nécessitent que les gens travaillent ensemble, et cela, à son tour, exige quelqu'un qui puisse les motiver, les inspirer, coordonner le travail, faire face à tout problème éventuel qui pourrait survenir en cours de route.
15	ted_1_29.wav	Mais pour cette raison, il est important que nous célébrions les bons leaders, car ce sont les leaders que nous célébrons qui sont ceux dont nous apprenons.
16	ted_1_30.wav	Et donc, dans ce sens, les dirigeants que nous célébrons ont un impact direct sur le succès, ou peut-être l'échec, de nos plus grands projets aujourd'hui.
17	ted_1_33.wav	Mais il y a un autre coupable en jeu également, ce que j'aime appeler la fallacie de l'action.
18	ted_1_34.wav	Notre croyance erronée que les meilleurs leaders sont ceux qui génèrent le plus de bruit, d'action et d'activité sensationnelle dans les circonstances les plus dramatiques.
19	ted_1_35.wav	En d'autres termes, nous confondons une bonne histoire avec un bon leadership.
20	ted_1_37.wav	En fait, très souvent, un bon leadership se traduira par une mauvaise histoire.
21	ted_1_39.wav	Imaginez le leadership pour un instant non pas comme un explorateur polaire traçant un nouveau cours ou une PDG motivant son personnel, mais comme le simple acte de nager à travers une rivière.
22	ted_1_41.wav	Imaginez une rivière violente avec des vagues se heurtant les unes aux autres et des rochers cachés quelque part sous la surface.
23	ted_1_42.wav	Si un nageur se hasarde de façon désordonnée, sans être conscient de ses propres capacités ou des courants, et manque de se noyer, mais s'agite follement, se bat de toutes ses forces et parvient d'une manière ou d'une autre, miraculeusement, à se ramener en sécurité, ceux d'entre nous qui observent le remarqueront.
24	ted_1_45.wav	Il s'est vraiment battu dur pour se sortir de cette crise.
25	ted_1_46.wav	Et si à la place, nous avons une nageuse qui a étudié la rivière pendant des années et qui sait exactement où et quand entrer dans l'eau et comment tourner son corps de manière subtile, laissant ainsi le courant la porter, nous ne la remarquerons probablement pas.
26	ted_1_47.wav	Et si nous le faisions, nous dirions probablement, Eh, ça semble assez facile.
27	ted_1_49.wav	Et lui et ses hommes ont alors été contraints de entreprendre un trek dangereux à travers la glace et de braver certaines des mers les plus agitées de la Terre avant d'atteindre enfin la sécurité de la Géorgie du Sud à l'été 1916.
28	ted_1_52.wav	En fait, cela a été adapté en série télévisée avec un jeune Kenneth Branagh.
29	ted_1_53.wav	Mais ce n'est pas une histoire à partir de laquelle tirer des leçons de leadership.
30	ted_1_54.wav	Il a ignoré les conseils des pêcheurs locaux qui lui ont dit que la glace était particulièrement dangereuse cette saison.
31	ted_1_55.wav	Et il a négligé les importants déficits dans son équipement, sa préparation, la sélection de son équipage et sa formation.
32	ted_1_57.wav	Rarement mis en avant dans les nombreux livres qui célèbrent ses qualités de leadership est le fait que l'autre navire de l'expédition, l'Aurora, a connu une crise encore plus grave, qui a entraîné la perte de trois vies.
33	ted_1_58.wav	En revanche, les expéditions d'un Roald Amundsen sont ennuyeuses à lire.
34	ted_1_59.wav	Ce n'est pas parce qu'il était chanceux, mais parce qu'en se basant sur sa connaissance intime de l'environnement polaire, son planning soigneux et délibéré, ainsi que son leadership authentique et novateur sur le terrain, il a réussi à réduire au strict minimum les problèmes auxquels son équipe était confrontée.
35	ted_1_60.wav	En 1905, il a accompli, dans un minuscule navire de pêche, ce que la puissante marine britannique avait échoué à faire au cours des huit décennies précédentes, à savoir trouver et naviguer le passage du Nord-Ouest situé au-dessus du continent canadien.
36	ted_1_61.wav	Si Shackleton est le nageur qui se jette imprudemment dans l'eau sans comprendre les courants ou ses propres capacités, Amundsen est le nageur qui a passé toute une vie étudie humblement la rivière avant d'y entrer au bon endroit au bon moment, et rend ainsi les choses faciles.
37	ted_1_62.wav	Maintenant, la fallacie de l'action cause de réels problèmes, et pas seulement pour notre interprétation du passé.
38	ted_1_63.wav	Je suis arrivé à cela à travers mon travail en tant qu'historien intéressé par la raison pour laquelle nous célébrons certains dirigeants du passé, mais pas d'autres.
39	ted_1_64.wav	Mais c'est une fonctionnalité dangereuse dans nos bureaux aujourd'hui également, car, après tout, les mêmes biais et idées fausses que nous apportons à notre lecture du passé sont exactement les mêmes avec lesquels nous percevons le leadership dans nos bureaux aujourd'hui.
40	ted_1_65.wav	Ce sont les Shackleton de nos bureaux, plutôt que les Amundsen, qui servent de modèles, qui sont promus et qui sont récompensés.
41	ted_1_66.wav	En fait, c'est quelque chose que des études en psychologie organisationnelle ont confirmé.
42	ted_1_67.wav	Nous percevons un potentiel de leadership chez les personnes qui parlent davantage, peu importe ce qu'ils disent.
43	ted_1_68.wav	Chez les personnes qui semblent confiantes, peu importe leur niveau de compétence.
44	ted_1_69.wav	Et nous avons une admiration indéfectible pour les personnes qui sont constamment occupées, peu importe ce qu'elles sont réellement en train de faire.
45	ted_1_70.wav	Je vois que certains d'entre vous sont en train d'imaginer des personnes spécifiques dans votre bureau en ce moment.
46	ted_1_72.wav	En d'autres termes, paraître être un bon leader, plutôt que d'en être vraiment un en coulisses, est le chemin vers la célébrité, les bonus et la promotion aujourd'hui.
47	ted_1_74.wav	Avec les mauvais dirigeants aux commandes, les organisations ne sont évidemment pas à leur plein potentiel.
48	ted_1_75.wav	Et cela crée une culture toxique dans laquelle ceux qui font réellement du bon travail se sentent ignorés et démotivés.
49	ted_1_76.wav	Alors, c'est un problème que nous devons résoudre.
50	ted_1_78.wav	Et cela commence par réimaginer à quoi ressemble un bon leadership.
51	ted_1_80.wav	Tout d'abord, nous devons apprendre à ignorer ce que l'on peut appeler les capitaines de crise, les Shackletons, ceux qui passent d'une circonstance dramatique à une autre.
52	ted_1_81.wav	Keith Grint, l'éminent chercheur en leadership aujourd'hui, résume brillamment cette dynamique problématique.
53	ted_1_82.wav	Puisque nous récompensons les personnes qui sont bonnes en temps de crise et ignorons celles qui sont de si bons gestionnaires qu'il y a peu de crises, les gens apprennent vite à rechercher ou à présenter des situations comme des crises.
54	ted_1_83.wav	Nous devons décourager ce style de leadership en refusant de donner l'attention qu'ils désirent à ces personnes.
55	ted_1_84.wav	Et c'est facile quand on est confronté aux faits sobres.
56	ted_1_86.wav	Mais dès qu'il est intégré dans une histoire, les détails dramatiques nous attirent comme un aimant et nous donnent un faux sentiment d'inspiration.
57	ted_1_88.wav	Au lieu de cela, nous devons apprendre à célébrer ceux qui atténuent plutôt que promouvoir le drame.
58	ted_1_89.wav	Et cela peut être difficile car ils le font souvent de manière très subtile, sous la surface de l'eau, dans le cas de notre nageur.
59	ted_1_91.wav	Ils construisent des processus qui alignent la force de l'organisation avec les défis uniques auxquels ils font face.
60	ted_1_92.wav	Et ils sont authentiques et créent des cultures qui font ressortir le meilleur chez les gens.
61	ted_1_93.wav	Je ne veux pas vous donner trop de termes techniques et académiques ici, mais celui-ci est important.
62	ted_1_95.wav	Mais comme elle nous le dit à partir de ses recherches, les preuves sont claires : la gestion ennuyeuse est importante.
