ID	audio	tgt_text
0	ted_1_0.wav	Mi piacerebbe invitarti a un piccolo esperimento di pensiero.
1	ted_1_1.wav	Facciamo finta che stiamo per partire insieme per una spedizione polare, tutti voi e io, e dobbiamo assumere un capitano.
2	ted_1_3.wav	Uno proviene da un uomo che ha già raggiunto con successo tutti e quattro gli obiettivi polari principali, il Polo Nord e il Polo Sud, e i Passaggi a Nordest e Nordovest.
3	ted_1_4.wav	In effetti, tre di questi furono le prime cose che lui realizzò.
4	ted_1_6.wav	Il candidato B è un uomo che si è recato in Antartide quattro volte, tre volte come responsabile, e ogni volta ha avuto come risultato un fallimento, una catastrofe o la morte.
5	ted_1_12.wav	Ma in realtà, spesso ci illudiamo di assumere il Candidato B o qualcuno simile a lui.
6	ted_1_14.wav	Nel frattempo, il Candidato A, il norvegese Roald Amundsen, per qualsiasi metrica, l'esploratore polare più di successo che sia mai vissuto, è stato in gran parte dimenticato.
7	ted_1_15.wav	Ho fatto una rapida ricerca nel catalogo della biblioteca della mia università prima di questa presentazione, e ho trovato niente meno di 26 libri che celebrano le qualità di leadership di Shackleton.
8	ted_1_16.wav	Per Amundsen, ne ho trovate quattro, due delle quali ho scritto.
9	ted_1_18.wav	Perché siamo ossessionati da un leader mediocre al meglio e trascuriamo uno veramente dotato?
10	ted_1_19.wav	Beh, sono uno storico che studia la leadership, e sono qui per dirti che celebriamo i leader sbagliati, e non solo nel campo dell'esplorazione polare.
11	ted_1_20.wav	Probabilmente parlate di lui intorno alle macchine del caffè al mattino.
12	ted_1_22.wav	È nato come schiavo analfabeta e si è alzato per diventare uno dei rivoluzionari più influenti di sempre, riuscendo a superare gli imperi più grandi del tempo, inclusi quelli di Napoleone.
13	ted_1_25.wav	E questo non è solo un'intuizione accademica o banale.
14	ted_1_28.wav	Tutte le sfide che affrontiamo oggi richiedono che le persone lavorino insieme, e ciò, a sua volta, richiede qualcuno che possa motivarle, ispirarle, coordinare il lavoro, affrontare eventuali intoppi che potrebbero sorgere lungo il cammino.
15	ted_1_29.wav	Ma per questo motivo, è importante che celebreremo i leader giusti, perché i leader che celebriamo sono i leader da cui impariamo.
16	ted_1_30.wav	E quindi in questo senso, i leader che celebreremo hanno un impatto diretto sul successo, o come potrebbe essere il fallimento, dei nostri maggiori sforzi oggi.
17	ted_1_33.wav	Ma c'è anche un altro colpevole che agisce, quello che mi piace chiamare la fallacia dell'azione.
18	ted_1_34.wav	La nostra errata convinzione che i migliori leader siano coloro che generano il maggior rumore, azione e attività sensazionale nelle circostanze più drammatiche.
19	ted_1_35.wav	In altre parole, confondiamo una buona storia con un buon leadership.
20	ted_1_37.wav	In realtà, molto spesso, una buona leadership si tradurrà in una brutta storia.
21	ted_1_39.wav	Immagina il leadership per un momento non come un esploratore polare che traccia un nuovo percorso o come un CEO che motiva il suo staff, ma come il semplice atto di nuotare attraverso un fiume.
22	ted_1_41.wav	Immagina un fiume violento con onde che si infrangono l'una contro l'altra e rocce che si nascondono da qualche parte sotto la superficie.
23	ted_1_42.wav	Se un nuotatore si avventura in modo casuale, senza essere consapevole delle proprie capacità o delle correnti, e quasi annega, ma si dimena freneticamente, lotta con tutte le sue forze e in qualche modo, miracolosamente, riesce a trascinarsi in salvo, chiunque di noi stia osservando lo noterà.
24	ted_1_45.wav	Ha veramente lottato duramente per uscire da quella crisi.
25	ted_1_46.wav	E se invece abbiamo una nuotatrice che ha studiato il fiume per anni e sa esattamente dove e quando entrare nell'acqua e come girare il corpo in modi sottili, e così lascia che la corrente la porti attraverso, probabilmente non la noteremo.
26	ted_1_47.wav	E se lo facessimo, probabilmente diremmo, Eh, sembra piuttosto facile.
27	ted_1_49.wav	E lui e i suoi uomini furono quindi costretti ad intraprendere un pericoloso viaggio attraverso il ghiaccio e a affrontare alcuni dei mari più tempestosi sulla Terra prima di raggiungere infine la sicurezza della Georgia del Sud nell'estate del 1916.
28	ted_1_52.wav	Infatti, è stata trasformata in una serie TV con il giovane Kenneth Branagh.
29	ted_1_53.wav	Ma non è una storia adatta per trarne lezioni di leadership.
30	ted_1_54.wav	Ha ignorato il consiglio dei balenieri locali che gli hanno detto che il ghiaccio era particolarmente pericoloso quella stagione.
31	ted_1_55.wav	E ha trascurato enormi deficit nel suo equipaggiamento, nella preparazione, nella selezione dell'equipaggio e nella formazione.
32	ted_1_57.wav	Raramente evidenziato nei numerosi libri che celebrano le sue qualità di leadership è il fatto che la nave dell'esplorazione, l'Aurora, ha subito una crisi ancora più grave, che ha comportato la perdita di tre vite.
33	ted_1_58.wav	Al contrario, le spedizioni di un Roald Amundsen sono noiose da leggere.
34	ted_1_59.wav	Non perché fosse fortunato, ma grazie alla sua intima conoscenza dell'ambiente polare, alla sua pianificazione attenta e ponderata e al suo autentico e innovativo leadership sul campo, è riuscito a ridurre al minimo i problemi che la sua squadra ha incontrato.
35	ted_1_60.wav	Nel 1905, riuscì, su una piccola imbarcazione da pesca, a fare ciò che la potente Marina Britannica non era riuscita a fare nei precedenti otto decenni, cioè trovare e navigare il Passaggio a Nord-Ovest sopra il continente canadese.
36	ted_1_61.wav	Se Shackleton è il nuotatore che si getta imprudentemente in acqua senza capire le correnti o le proprie capacità, Amundsen è il nuotatore che ha passato una vita umilmente studiando il fiume prima di entrare in acqua nel posto giusto al momento giusto, e così rende tutto facile.
37	ted_1_62.wav	Ora, la fallacia dell'azione causa veri problemi, e non solo per la nostra interpretazione del passato.
38	ted_1_63.wav	Sono giunto a questo attraverso il mio lavoro di storico interessato al motivo per cui celebriamo alcuni leader del passato, ma non altri.
