ID	audio	tgt_text
0	ted_1_0.wav	"""Я бы хотел пригласить вас на небольшой мысленный эксперимент."""
1	ted_1_1.wav	Давайте притворимся, что мы отправляемся вместе на полярное экспедицию, все вы и я, и нам нужно нанять капитана.
2	ted_1_3.wav	Один из них приходит от человека, который уже успешно достиг всех четырех основных полярных целей: Северного полюса, Южного полюса, Северо-Восточного и Северо-Западного проходов.
3	ted_1_4.wav	Фактически, в трех из них он был первым человеком, кто достиг этого.
4	ted_1_6.wav	Кандидат B - это человек, который отправился на Антарктику четыре раза, три раза в качестве ответственного лица, и каждый раз результатом были неудача, катастрофа или смерть.
5	ted_1_12.wav	Но на самом деле мы часто обманываем сами себя, нанимая Кандидата B или кого-то похожего на него.
6	ted_1_14.wav	Между тем, кандидат А, норвежец Роальд Амундсен, по любой метрике является самым успешным полярным исследователем за всю историю, в основном был забыт.
7	ted_1_15.wav	Я провел быстрый поиск в каталоге библиотеки моего университета перед этим выступлением и нашел не меньше чем 26 книг, посвященных лидерским качествам Шеклтона.
8	ted_1_16.wav	Для Амундсена я нашел четыре, из которых два я написал.
9	ted_1_18.wav	Почему мы одержимы средним, в лучшем случае, лидером, не обращая внимания на по-настоящему одаренного?
10	ted_1_19.wav	Хорошо, я историк, изучающий лидерство, и я здесь, чтобы сказать вам, что мы празднуем неправильных лидеров, и не только в области полярных исследований.
11	ted_1_20.wav	Вы, вероятно, обсуждаете его у кофемашин по утрам.
12	ted_1_22.wav	Он родился неграмотным рабом, но поднялся, чтобы стать одним из самых влиятельных революционеров всех времен и переиграл самые могущественные империи своего времени, включая Наполеона.
13	ted_1_25.wav	И это не просто академическое или тривиальное открытие.
14	ted_1_28.wav	Все вызовы, с которыми мы сталкиваемся сегодня, требуют, чтобы люди работали вместе, и это, в свою очередь, требует кого-то, кто сможет мотивировать их, вдохновлять и координировать работу, решать любые возникающие трудности.
15	ted_1_29.wav	Однако по этой причине важно, чтобы мы отмечали правильных лидеров, потому что лидеров, которых мы отмечаем, тем самым и учимся.
16	ted_1_30.wav	Итак, в этом смысле лидеры, которых мы отмечаем, оказывают прямое влияние на успех, а может быть, и на неудачу наших самых важных начинаний сегодня.
17	ted_1_33.wav	Но также еще один виновник на свободе, которого я называю ошибкой действия.
18	ted_1_34.wav	Наше ошибочное убеждение в том, что лучшие лидеры - те, кто создает наибольший шум, действие и сенсационную активность в самых драматических обстоятельствах.
19	ted_1_35.wav	Другими словами, мы путаем хороший рассказ с хорошим лидерством.
20	ted_1_37.wav	Фактически, очень часто хорошее лидерство приведет к плохому исходу.
21	ted_1_39.wav	Представьте себе руководство хотя бы на один момент не как упорного полярного исследователя, намечающего новый путь или генерального директора, мотивирующего свой персонал, а как простое действие плавания через реку.
