ID	audio	tgt_text
0	ted_1_0.wav	Me gustaría invitarte a participar en un pequeño experimento mental.
1	ted_1_1.wav	"""Vamos a fingir que vamos juntos en una expedición polar, todos ustedes y yo, y necesitamos contratar un capitán."""
2	ted_1_3.wav	Uno proviene de un hombre que ya ha logrado con éxito los cuatro principales objetivos polares, el Polo Norte y el Polo Sur, así como también el Paso del Noreste y el Paso del Noroeste.
3	ted_1_4.wav	De hecho, tres de estos logros fueron los primeros que logró.
4	ted_1_6.wav	El candidato B es un hombre que partió hacia la Antártida cuatro veces, tres veces como el encargado, y cada vez resultó en fracaso, catástrofe o muerte.
5	ted_1_12.wav	Pero en realidad, a menudo nos engañamos a nosotros mismos al contratar al Candidato B o a alguien parecido a él.
6	ted_1_14.wav	Mientras tanto, el Candidato A, el noruego Roald Amundsen, considerado por cualquier medida el explorador polar más exitoso que haya existido, ha sido en gran medida olvidado.
7	ted_1_15.wav	Hice una búsqueda rápida en el catálogo de la biblioteca de mi universidad antes de esta charla, y encontré no menos de 26 libros que celebran las cualidades de liderazgo de Shackleton.
8	ted_1_16.wav	Para Amundsen, encontré cuatro, dos de los cuales escribí.
9	ted_1_18.wav	¿Por qué estamos obsesionados con un líder mediocre en el mejor de los casos y pasando por alto a uno verdaderamente talentoso?
10	ted_1_19.wav	Claro, soy historiador y estudio el liderazgo, y estoy aquí para decirte que celebramos a los líderes equivocados, y no solo en el ámbito de la exploración polar.
11	ted_1_20.wav	Probablemente hablas de él alrededor de las máquinas de café por las mañanas.
12	ted_1_22.wav	Nació como esclavo analfabeto y llegó a ser uno de los revolucionarios más influyentes de la historia, superando a los mayores imperios de la época, incluido el de Napoleón.
13	ted_1_25.wav	Y esto no es simplemente una percepción académica o trivial.
14	ted_1_28.wav	Todos los desafíos a los que nos enfrentamos hoy en día requieren que las personas trabajen juntas, y esto, a su vez, requiere a alguien que pueda motivarlas, inspirarlas, coordinar el trabajo y lidiar con cualquier contratiempo que pueda surgir en el camino.
15	ted_1_29.wav	Pero por esta razón, es importante que celebremos a los líderes correctos, porque los líderes que celebramos son los líderes de quienes aprendemos.
16	ted_1_30.wav	Y entonces, en este sentido, los líderes que celebramos tienen un impacto directo en el éxito, o en su defecto en el fracaso, de nuestros mayores esfuerzos hoy en día.
17	ted_1_33.wav	Pero hay otro culpable trabajando también, lo que me gusta llamar la falacia de la acción.
