id,raw_transcription,path,lang,de
1904,"However, due to the slow communication channels, styles in the west could lag behind by 25 to 30 year.",1003119935936341070.wav,en,Allerdings konnten aufgrund der langsamen Kommunikationswege die Stile im Westen um 25 bis 30 Jahre hinterherhinken.
1675,"All nouns, alongside the word Sie for you, always begin with a capital letter, even in the middle of a sentence.",10052240106321793346.wav,en,"Alle Substantive, neben dem Wort Sie für Sie, beginnen immer mit einem Großbuchstaben, auch mitten in einem Satz."
1950,To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendours recorded by Lord Byron.,10167324587744183095.wav,en,"Im Norden und in unmittelbarer Nähe liegt die romantische und faszinierende Stadt Sintra, die Ausländern durch einen begeisterten Bericht über ihre Pracht von Lord Byron bekannt gemacht wurde."
1728,The cabbage juice changes color depending on how acidic or basic (alkaline) the chemical is.,10197164397713068203.wav,en,"Der Kohlsaft verändert je nachdem, wie sauer oder basisch (alkalisch) die chemische Substanz ist, die Farbe."
1972,Many people don't think about them as dinosaurs because they have feathers and can fly.,10233995782544396174.wav,en,"Viele Leute denken nicht an sie als Dinosaurier, weil sie Federn haben und fliegen können."
1938,"The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.",10235738076911595987.wav,en,"Das Krankenhaus hat das Protokoll zur Infektionskontrolle befolgt, einschließlich der Trennung des Patienten von anderen, um eine mögliche Ansteckung anderer zu verhindern."
1876,The Northern Marianas emergency management office said that there were no damages reported in the nation.,10323357556845456822.wav,en,"Das Büro für Notfallmanagement der Nördlichen Marianen gab bekannt, dass keine Schäden im Land gemeldet wurden."
1914,Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.,10335587906469246566.wav,en,"Forschung im 20. Jahrhundert hat gezeigt, dass es zwei Pools genetischer Variationen gibt: verborgene und ausgedrückte."
1846,The aspect ratio of this format (dividing by twelve to obtain the simplest whole-number ratio) is therefore said to be 3:2.,10344335557154974057.wav,en,"Das Seitenverhältnis dieses Formats (durch zwölf dividiert, um das einfachste Ganzzahlverhältnis zu erhalten) wird daher als 3:2 bezeichnet."
1806,"As light pollution in their heyday was not the kind of problem it is today, they are usually located in cities or at campuses, easier to reach than those built in modern times.",1036771894648013441.wav,en,"Da Lichtverschmutzung zu ihrer Hochzeit nicht das Problem war, das sie heute ist, sind sie normalerweise in Städten oder auf dem Campus zu finden, einfacher zu erreichen als die in moderner Zeit errichteten."
1776,"Through the night between 150 and 200 copies were made, now known as ""Dunlap broadsides"".",1038214857203833067.wav,en,"Durch die Nacht wurden zwischen 150 und 200 Kopien hergestellt, die nun als ""Dunlap-Breitseiten"" bekannt sind."
1729,"For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.",10383288285905292158.wav,en,"Zum Beispiel gestalten Schüler der Bennet School in North Carolina jedes Jahr eine Website über ihren Ausflug zum Staatskapital. Die Website wird jedes Jahr umgestaltet, aber alte Versionen werden online aufbewahrt, um als Scrapbook zu dienen."
1855,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.",10405958125670257178.wav,en,"Löwenrudel verhalten sich ähnlich wie Wolfs- oder Hundenrudel, Tiere, die überraschenderweise Löwen (aber keine anderen Großkatzen) im Verhalten ähneln und sehr tödlich für ihre Beute sind."
1919,The city is also the base to climb the Nyiragongo volcano along with some of the cheapest Mountain Gorilla tracking in Africa.,10411016628242228511.wav,en,Die Stadt ist auch der Ausgangspunkt für den Aufstieg auf den Nyiragongo-Vulkan sowie für einige der günstigsten Berggorilla-Tracking-Möglichkeiten in Afrika.
1802,The Internet combines elements of both mass and interpersonal communication.,1042003289011443756.wav,en,Das Internet vereint Elemente der Massen- und der Interpersonellen Kommunikation.
1711,These theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things.,1043394666292127188.wav,en,"Diese Theorien untersuchen, was es an bestimmten Menschen ist, das sie die Dinge wollen lässt, die sie wollen, und welche Dinge in ihrer Umgebung sie dazu bringen werden, bestimmte Dinge zu tun oder nicht zu tun."
1685,"For example, the most common still image photography format in the world is 35mm, which was the dominant film size at the close of the analog film era.",1045619486290403122.wav,en,"Zum Beispiel ist das gängigste Fotoformat der Welt das 35mm-Format, das zum Ende des Analogfilm-Zeitalters dominierend war."
1992,"The term safari in popular use refers to overland travel to view the stunning African wildlife, particularly on savanna.",1046653381869710616.wav,en,"Der Begriff Safari wird im Volksmund für Reisen über Land verwendet, um die atemberaubende afrikanische Tierwelt zu betrachten, insbesondere in der Savanne."
2005,But there are a lot of things about birds that still look like a dinosaur.,10471564175308895403.wav,en,"Aber es gibt viele Dinge über Vögel, die immer noch wie Dinosaurier aussehen."
1982,"Women: It is recommended that any women travellers say that they are married, regardless of actual marital status.",10481451226514948764.wav,en,"Frauen: Es wird empfohlen, dass alle weiblichen Reisenden angeben, verheiratet zu sein, unabhängig vom tatsächlichen Familienstand."
1674,"In some areas boiling water for a minute is enough, in others several minutes are needed.",10492135991603561867.wav,en,"In einigen Gebieten reicht es aus, Wasser eine Minute lang zu kochen, während es in anderen mehrere Minuten benötigt."
1952,"Anyone who's going to drive at high latitudes or over mountain passes should consider the possibility of snow, ice, or freezing temperatures.",10492761258488775721.wav,en,"Jeder, der in hohen Breiten fahren oder über Gebirgspässe fahren möchte, sollte die Möglichkeit von Schnee, Eis oder frostigen Temperaturen in Betracht ziehen."
